1000715,CE-560,500,418,02/27/2001 17:53
1000716,CE-500,500,330,02/27/2001 17:53
1000717,B-737-100,500,430,02/27/2001 17:53
1000718,PA-23-250,500,180,02/27/2001 17:53
1000719,CE-310,500,180,02/27/2001 17:53
1000721,CE-340A,500,190,02/27/2001 17:53
1000722,PA-31-350,500,200,02/27/2001 17:53
1000725,XSUB.CON,500,375,02/27/2001 17:53
1000727,CE-402B,500,190,02/27/2001 17:53
1000728,LR-25D,500,425,02/27/2001 17:53
1000729,GIV,500,465,02/27/2001 17:53
1000731,BE-350,500,300,02/27/2001 17:53
1000732,CE-501,500,345,02/27/2001 17:53
1000733,BE-1300,500,250,02/27/2001 17:53
1000734,DC-3,500,179,02/27/2001 17:53
1000735,DC-9,2500,450,02/27/2001 17:53
1000739,SA-226-AT,500,300,02/27/2001 17:53
1000744,CE-208B,500,190,02/27/2001 17:53
1000749,R-44,500,113,02/27/2001 17:53
1000757,PC-12,500,260,02/27/2001 17:53
1000758,AC-90,500,230,02/27/2001 17:53
1000766,HS-125-800XP,10,220,02/27/2001 18:20
1000767,HS-125-800,10,200,02/27/2001 18:20
1000769,HS-125-800XP,25,290,02/27/2001 18:20
1000770,HS-125-800,50,250,02/27/2001 18:20
1000772,HS-125-800XP,50,342,02/27/2001 18:20
1000773,HS-125-800,75,325,02/27/2001 18:20
1000775,HS-125-800XP,100,385,02/27/2001 18:20
1000776,HS-125-800,100,380,02/27/2001 18:20
1000778,HS-125-800XP,250,422,02/27/2001 18:20
1000779,HS-125-800,250,400,02/27/2001 18:20
1000781,HS-125-800XP,500,427,02/27/2001 18:20
1000782,HS-125-800,500,430,02/27/2001 18:20
1000990,GIV-SP,10,200,10/19/2001 11:03
1000991,GIV-SP,50,300,10/19/2001 11:03
1000992,GIV-SP,75,380,10/19/2001 11:03
1000993,GIV-SP,100,400,10/19/2001 11:03
1000994,GIV-SP,250,440,10/19/2001 11:03
1000995,GIV-SP,500,465,10/19/2001 11:03
1000996,GV,10,200,10/19/2001 11:03
1000997,GV,50,347,10/19/2001 11:03
1000998,GV,75,421,10/19/2001 11:03
1000999,GV,100,475,10/19/2001 11:03
1001000,GV,250,486,10/19/2001 11:03
1001001,GV,500,486,10/19/2001 11:03
1001002,DA-2000,10,200,10/19/2001 11:03
1001003,DA-2000,50,250,10/19/2001 11:03
1001004,DA-2000,75,350,10/19/2001 11:03
1001005,DA-2000,100,410,10/19/2001 11:03
1001006,DA-2000,250,440,10/19/2001 11:03
1001007,DA-2000,500,460,10/19/2001 11:03
1000940,B-737-700,10,200,10/16/2001 11:38
1000941,B-737-700,25,310,10/16/2001 11:38
1000942,B-737-700,50,385,10/16/2001 11:38
1000943,B-737-700,100,405,10/16/2001 11:38
1000944,B-737-700,250,425,10/16/2001 11:38
1000945,B-737-700,500,430,10/16/2001 11:38
1000946,BAE-1000A,10,220,10/16/2001 11:38
1000947,BAE-1000A,25,280,10/16/2001 11:38
1000948,BAE-1000A,50,325,10/16/2001 11:38
1000949,BAE-1000A,100,366,10/16/2001 11:38
1000950,BAE-1000A,250,420,10/16/2001 11:38
1000951,BAE-1000A,500,440,10/16/2001 11:38
1000952,CE-560XL,10,200,10/16/2001 11:38
1000953,CE-560XL,25,280,10/16/2001 11:38
1000954,CE-560XL,50,330,10/16/2001 11:38
1000955,CE-560XL,100,355,10/16/2001 11:38
1000956,CE-560XL,250,400,10/16/2001 11:38
1000957,CE-560XL,500,418,10/16/2001 11:38
1000958,CE-750,10,248,10/16/2001 11:38
1000959,CE-750,25,301,10/16/2001 11:38
1000960,CE-750,50,406,10/16/2001 11:38
1000961,CE-750,100,448,10/16/2001 11:38
1000962,CE-750,250,482,10/16/2001 11:38
1000963,CE-750,500,514,10/16/2001 11:38
1002021,CE-560E,10,200,01/08/2003 22:06
1002022,CE-560E,25,280,01/08/2003 22:06
1002023,CE-560E,50,330,01/08/2003 22:06
1002024,CE-560E,100,355,01/08/2003 22:06
1002025,CE-560E,250,400,01/08/2003 22:06
1002026,CE-560E,500,418,01/08/2003 22:06
1002015,G-200,10,200,01/08/2003 22:05
1002016,G-200,50,280,01/08/2003 22:05
1002017,G-200,75,325,01/08/2003 22:05
1002018,G-200,100,420,01/08/2003 22:05
1002019,G-200,250,450,01/08/2003 22:05
1002020,G-200,500,461,01/08/2003 22:05
1002035,HS-125-800XPC,10,220,02/27/2001 18:20
