40,Sutton Aerial,08K,1,Approved,,,2012-01-25 03:18:24.0
11129,Unknown,08M,1,Approved,,,2012-01-25 03:18:24.0
11130,Unknown,08N,1,Approved,,,2012-01-25 03:18:24.0
11131,Unknown,08R,1,Approved,,,2012-01-25 03:18:24.0
11132,Unknown,08U,1,Approved,,,2012-01-25 03:18:24.0
41,Butler Airport,09A,1,Approved,,,2013-04-04 19:13:51.0
11133,Unknown,09C,1,Approved,,,2012-01-25 03:18:24.0
1163024,Jekyll Island Airport,09J,1,Restricted,PNR,PNR,2012-12-27 14:03:01.0
11134,Unknown,09K,1,Approved,,,2012-01-25 03:18:24.0
11135,Unknown,09M,1,Approved,,,2012-01-25 03:18:24.0
11136,Unknown,09N,1,Approved,,,2012-01-25 03:18:24.0
11137,Fbo Facility Not Available,09R,1,Approved,,,2012-01-25 03:18:24.0
11138,Unknown,09S,1,Approved,,,2012-01-25 03:18:24.0
11139,Unknown,0A2,1,Approved,,,2012-01-25 03:18:24.0
44,Armstrong Aviation,0A3,1,Approved,,,2012-01-25 03:18:24.0
45,National Aircraft,0A4,1,Approved,,,2012-01-25 03:18:24.0
47,Aerolina,0A7,1,Approved,,,2012-01-25 03:18:24.0
9306,Bibb Aviation,0A8,1,Approved,,,2012-01-25 03:18:24.0
48,Elizabethton Municipal Airport,0A9,1,Approved,0730-2100 / 7 days a week,0730-1900 / 7 days a week,2013-11-14 13:45:37.0
1145069,Unknown,0AK,1,Approved,,,2012-01-25 03:18:24.0
11140,Fbo Facility Not Available,0B1,1,Approved,,,2012-01-25 03:18:24.0
11141,Unknown,0B2,1,Approved,,,2012-01-25 03:18:24.0
4093,Hartington Airport,0B4,1,Approved,,,2012-01-25 03:18:24.0
50,Tri State Aviation,0B5,2,Approved,,,2012-01-25 03:18:24.0
49,Pioneer Aviation,0B5,1,Approved,,,2012-01-25 03:18:24.0
52,Sugarbush Soaring Association,0B7,1,Approved,,,2012-01-25 03:18:24.0
5737,Elizabeth Field/Fisher Island,0B8,1,Approved,,,2012-01-25 03:18:24.0
11142,Fbo Facility Not Available,0C0,1,Approved,,,2012-01-25 03:18:24.0
53,Laurel Ping,0C1,1,Approved,,,2012-01-25 03:18:24.0
11143,Unknown,0C2,1,Approved,,,2012-01-25 03:18:24.0
11144,Unknown,0C3,1,Approved,,,2012-01-25 03:18:24.0
4095,Pender Airport,0C4,1,Approved,,,2012-01-25 03:18:24.0
11145,Fbo Facility Not Available,0C5,1,Approved,,,2012-01-25 03:18:24.0
11146,Fbo Facility Not Available,0C7,1,Approved,,,2012-01-25 03:18:24.0
11147,Unknown,0C8,1,Approved,,,2012-01-25 03:18:24.0
11148,Unknown,0D4,1,Approved,,,2012-01-25 03:18:24.0
1145070,Unknown,0D6,1,Approved,,,2012-01-25 03:18:24.0
11149,Unknown,0D7,1,Approved,,,2012-01-25 03:18:24.0
1161200,West River Arial,0D8,1,Approved,PPR,PPR,2013-11-14 13:46:11.0
54,Nauman Flying (Not A Fbo),0D8,999,Approved,,,2012-01-25 03:18:24.0
8116,No Services At Airport,0D8,999,Approved,,,2012-01-25 03:18:24.0
11150,Sundance Aviation,0E0,1,Approved,0800-1800 / 7 days a week,0800-1800 / 7 days a week,2012-01-25 03:18:24.0
11151,Unknown,0E1,1,Approved,,,2012-01-25 03:18:24.0
11152,Unknown,0E8,1,Approved,,,2012-01-25 03:18:24.0
11153,Unknown,0E9,1,Approved,,,2012-01-25 03:18:24.0
55,Raymark Aviation,0F2,1,Approved,,,2012-01-25 03:18:24.0
1145071,Unknown,0F3,1,Approved,,,2012-01-25 03:18:24.0
4094,Loup City Muni,0F4,1,Approved,,,2012-01-25 03:18:24.0
11154,Unknown,0F7,1,Approved,,,2012-01-25 03:18:24.0
11155,Unknown,0F9,1,Approved,,,2012-01-25 03:18:24.0
57,N Buffalo Sub Arpt,0G0,1,Approved,,,2012-01-25 03:18:24.0
