Gulfstream,Large Cabin,Gulfstream G500,Gulfstream G550,Gulfstream G500,14,6;638 sm w/2 pax @ LRC,560 mph,$55.50M (2012 Model Year),G500.pdf
Gulfstream,Large Cabin,Gulfstream G550,,Gulfstream G550,14,7;697 sm w/2pax @ LRC,560 mph,$63.50M (2012 Model Year),G550.pdf
Gulfstream,Large Cabin,Gulfstream G650,Global 7000/8000,Gulfstream G650,13,Up to 8;050 sm,593 mph,$64.50M (Estimated),G650.pdf
Hawker Beechcraft,Light Cabin,Hawker 200,Certification on hold Until Further Notice,Hawker 200,"6
8 passengers",TBD,TBD,TBD,H200.pdf
Hawker Beechcraft,Midsize Cabin,Hawker 900XP,,Hawker 900XP,8,3;241 sm w/2 pax @ LRC,505 mph,$16.07M (2012 Model Year),H900XP.pdf
Hawker Beechcraft,Super Midsize Cabin,Hawker 4000,Citation X & Gulfstream G200,Hawker 4000,8,3;617 sm w/2 pax @ LRC,540 mph,$22.91M (2012 Model Year),H4000.pdf
Hawker Beechcraft,TPROP-VLJ,King Air 350i,N/A,King Air 350i,8,1;701sm w/2pax @ LRC,340 mph,$7.31M (2012 Model Year),KingAir350i.pdf
Piaggio (Avanti),TPROP-VLJ,Avanti P180-II,N/A,Avanti P180-II,Up to 7,1;517 sm w/2 pax @ LRC,442 mph,$7.20M (2011 Model Year),AvantairP180 II.pdf
Flexjet,Light Cabin,Learjet 40XR,Encore/+ & Phenom 300 Platinum Ed.,Learjet 40XR,6,1;797 sm w/2 pax @ LRC,529 mph,1/16th Acq: $400;000,BombardierL40XR.pdf
Flexjet,Midsize Cabin,Learjet 45XR,XLS/Excel & H900XP/800XP,Learjet 45XR,8,2;090 sm w/2 pax @ LRC,507 mph,1/16th Acq: $410;000,L45XR.pdf
Flexjet,Midsize Cabin,Learjet 60XR,H900XP/800XP & Sovereign,Learjet 60XR,7,2;574 sm w/ 2 pax @ LRC,508 mph,1/16th Acq: $500;000,BombardierL60XR.pdf
Flexjet,Super Midsize Cabin,Learjet 85,Certification anticipated 4Q 2013,Learjet 85,8,3;300 sm (estimated),540 mph,1/16th Acq: $1;137;500,L85.pdf
Flexjet,Super Midsize Cabin,Challenger 300,Sovereign & Gulfstream G200,Challenger 300,8,3;650 sm w/2 pax @ LRC,540 mph,1/16th Acq: $1;375;000,BombardierCL300.pdf
Flexjet,Large Cabin,Challenger 605,"F2000EX/2000 & G450/GIV
SP",Challenger 605,12,4;465 sm w/2 pax @ LRC,528 mph,1/16th Acq: $1;064;000,BombardierCL605.pdf
Flight Options,Light Cabin,Beechjet 400A/H400XP,Hawker 400XP,Beechjet 400A/H400XP,7,1;471 sm w/2 pax @ LRC,511 mph,JetPASS 25hrs: $100;000,Flops400XP.pdf
Flight Options,Light Cabin,Nextant 400XT,H400XP,Nextant 400XT,7,2;300 sm w/2 pax @ LRC,511 mph,1/16th Acq: $305;000,Flops400XT.pdf
Flight Options,Light Cabin,Phenom 300,Phenom 300 Platinum Edition,Phenom 300,7,2;009 sm w/2pax @ LRC,495 mph,1/16th Acq: $537;500,FlopsP300.pdf
Flight Options,Midsize Cabin,Hawker 800XP,Hawker 900XP/800XP,Hawker 800XP,8,2;908 sm w/2 pax @ LRC,500 mph,JetPASS 25hrs: $142;500,FlopsH800XP.pdf
Flight Options,Super Midsize Cabin,Citation X,Citaiton X,Citation X,8,3;403 sm w/2 pax @ LRC,590 mph,1/16th Acq: $512;500,FlopsCitationX.pdf
Flight Options,Large Cabin,Legacy 600,G200 & F2000EX/2000,Legacy 600,13,3;807 sm w/2 pax @ LRC,513 mph,1/16th Acq: $750;000,Legacy600.pdf
CitationAir,Light Cabin,Citation CJ3,H400XP & Encore,Citation CJ3,6,1;981 sm w/2 pax @ LRC,457 mph,"Non
Peak 25hrs: $121;675",CitationAirCJ3.pdf
