157995,G-200,FZKF,552,Prohibited,1,1,
311705,ALL,FZKF,552,Prohibited,1,1,
96835,GV,FZKF,552,Prohibited,1,1,
78834,GIV-SP,FZKF,552,Prohibited,1,1,
54807,CE-750,FZKF,552,Prohibited,1,1,
30386,CE-560XL,FZKF,552,Prohibited,1,1,
1278464,DA-7X,UUOL,552,Prohibited,1,1,
1602286,GL6000S,EGFE,552,Prohibited,1,1,
1144546,GV,LFMD,552,Prohibited,1,1,
1144547,GIV-SP,LFMD,552,Prohibited,1,1,
327943,CE-750,KNZW,552,Prohibited,1,1,
327941,CE-560XL,KNZW,552,Prohibited,1,1,
226495,HS-125-800XPC,KNZW,552,Prohibited,1,1,
200466,CE-560E,KNZW,552,Prohibited,1,1,
176230,DA-2000,KNZW,552,Prohibited,1,1,
162266,G-200,KNZW,552,Prohibited,1,1,
96409,GV,KNZW,552,Prohibited,1,1,
83680,GIV-SP,KNZW,552,Prohibited,1,1,
98563,GV,KTEL,552,Prohibited,1,1,
85564,GIV-SP,KTEL,552,Prohibited,1,1,
61532,CE-750,KTEL,552,Prohibited,1,1,
1273711,CE-560EP,0B4,552,Prohibited,1,1,
222113,HS-125-800XPC,NY55,552,Prohibited,1,1,
197173,CE-560E,NY55,552,Prohibited,1,1,
169041,DA-2000,NY55,552,Prohibited,1,1,
155007,G-200,NY55,552,Prohibited,1,1,
94205,GV,NY55,552,Prohibited,1,1,
80393,GIV-SP,NY55,552,Prohibited,1,1,
301104,CE-750,NY55,552,Prohibited,1,1,
325430,CE-560XL,NY55,552,Prohibited,1,1,
321700,ALL,I93,552,Prohibited,1,1,
224449,HS-125-800XPC,I93,552,Prohibited,1,1,
229926,HS-125-800XPC,M48,552,Prohibited,1,1,
175274,DA-2000,M48,552,Prohibited,1,1,
165020,G-200,M48,552,Prohibited,1,1,
99467,GV,M48,552,Prohibited,1,1,
86686,GIV-SP,M48,552,Prohibited,1,1,
58292,CE-750,M48,552,Prohibited,1,1,
34263,CE-560XL,M48,552,Prohibited,1,1,
231220,HS-125-800XPC,SWUZ,552,Prohibited,1,1,
161410,G-200,RJTR,552,Prohibited,1,1,
100190,GV,RJTR,552,Prohibited,1,1,
87244,GIV-SP,RJTR,552,Prohibited,1,1,
308393,ALL,RJTR,552,Prohibited,1,1,
63203,CE-750,RJTR,552,Prohibited,1,1,
34892,CE-560XL,RJTR,552,Prohibited,1,1,
320127,ALL,H19,552,Prohibited,1,1,
226871,HS-125-800XPC,H19,552,Prohibited,1,1,
201115,CE-560E,H19,552,Prohibited,1,1,
172655,DA-2000,H19,552,Prohibited,1,1,
159067,G-200,H19,552,Prohibited,1,1,
314309,ALL,H19,552,Prohibited,1,1,
97931,GV,H19,552,Prohibited,1,1,
84133,GIV-SP,H19,552,Prohibited,1,1,
55870,CE-750,H19,552,Prohibited,1,1,
31434,CE-560XL,H19,552,Prohibited,1,1,
229788,HS-125-800XPC,3PN7,552,Prohibited,1,1,
203455,CE-560E,3PN7,552,Prohibited,1,1,
179425,DA-2000,3PN7,552,Prohibited,1,1,
165056,G-200,3PN7,552,Prohibited,1,1,
103647,GV,3PN7,552,Prohibited,1,1,
90861,GIV-SP,3PN7,552,Prohibited,1,1,
58341,CE-750,3PN7,552,Prohibited,1,1,
34329,CE-560XL,3PN7,552,Prohibited,1,1,
319557,ALL,CSD3,552,Prohibited,1,1,
219214,HS-125-800XPC,CSD3,552,Prohibited,1,1,
198278,CE-560E,CSD3,552,Prohibited,1,1,
169884,DA-2000,CSD3,552,Prohibited,1,1,
