FNSA,VHC,FNLU,SAURIMO,SAURIMO,,AGO,Africa/Luanda,3586,11155,-34880,73551,0,1,0,NO
FNSO,SZA,FNLU,SOYO,SOYO,,AGO,Africa/Luanda,15,6857,-22020,44520,0,1,0,NO
FNSU,,,SUMBE,SUMBE,,AGO,Africa/Luanda,36,3675,-40200,49860,0,0,0,NO
FNUB,SDD,,MUKANKA,LUBANGO,,AGO,Africa/Luanda,5772,10499,-53728,48858,1,0,0,NO
FNUE,LUO,,MOXICO,LUENA,,AGO,Africa/Luanda,4446,7854,-42367,71630,0,0,0,NO
FNUG,UGO,,UIGE,UIGE,,AGO,Africa/Luanda,2720,6562,-27360,54120,0,0,0,NO
FNWK,CEO,,WAKO KUNGO,WAKO KUNGO,,AGO,Africa/Luanda,4323,6562,-41220,54300,0,0,0,NO
FNXA,XGN,,XANGONGO,XANGONGO,,AGO,Africa/Luanda,3636,6562,-60300,53880,0,0,0,NO
FNZE,ARZ,,N ZETO,N ZETO,,AGO,Africa/Luanda,69,7218,-25980,46320,0,0,0,NO
TQPF,AXA,TNCM,CLAYTON J. LLOYD INTL,THE VALLEY,,AIA,America/Anguilla,127,4964,65537,-226993,1,1,1,NO
LATI,TIA,LYPG,TIRANA,TIRANA,,ALB,Europe/Tirane,125,8973,149093,70994,1,1,1,NO
TNCB,BON,,FLAMINGO,KRALENDIJK,,ANT,America/Curacao,24,10030,43670,-245762,1,1,0,NO
TNCC,CUR,TNCA,HATO INTL.,WILLEMSTAD,,ANT,America/Curacao,36,11198,43880.09,-248254.89,1,1,1,NO
TNCE,EUX,,F.D. ROOSEVELT,ST EUSTATIUS I,,ANT,America/Anguilla,129,4265,62971.10207,-226707.80351,1,0,0,NO
TNCM,SXM,TJSJ,PRINCESS JULIANA INTL,ST MAARTEN I,,ANT,America/Anguilla,14,7447,64947,-227192,1,1,1,NO
OMAA,AUH,OMDB,ABU DHABI INTL,ABU DHABI,,ARE,Asia/Dubai,88,13451,87959,196744,1,1,1,NO
OMAB,,OMAA,BUHASA,BUHASA,,ARE,Asia/Dubai,395,2001,84959,192166,0,0,0,NO
OMAD,AZI,OMAA,AL BATEEN EXECUTIVE,ABU DHABI,,ARE,Asia/Dubai,16,8698,87942,196049,1,1,1,NO
OMAF,,,FUTAYSI,FUTAYSI,,ARE,Asia/Dubai,15,3281,87764,195538,0,0,0,NO
OMAJ,,,JEBEL DHANA,JEBEL DHANA,,ARE,Asia/Dubai,43,7218,87055,189445,0,0,0,NO
OMAL,AAN,OMAA,AL AIN INTL,AL AIN,,ARE,Asia/Dubai,866,13123,87342,200193,1,1,1,NO
OMAM,,,AL DHAFRA,AL DHAFRA,,ARE,Asia/Dubai,76,12057,87294,196374,1,0,0,NO
OMAQ,,,QARNAYN,QARNAYN,,ARE,Asia/Dubai,14,3300,89760,190260,0,0,0,NO
OMAR,,,ARZANAH,ARZANAH,,ARE,Asia/Dubai,15,3438,89211,189215,0,0,0,NO
OMAS,,,DAS ISLAND,DAS ISLAND,,ARE,Asia/Dubai,12,3537,90510,190340,0,0,0,NO
